Okuma Zamani;ADM2_P;ADM2_Q;ADM2_S;ADM2_L1;ADM2_L2;ADM2_L3;ADM2_U1;ADM2_U2;ADM2_U3;DM1_P;DM1_Q;DM1_S;DM1_L1;DM1_L2;DM1_L3;DM1_U1;DM1_U2;DM1_U3;DM2_P;DM2_Q;DM2_S;DM2_L1;DM2_L2;DM2_L3;DM2_U1;DM2_U2;DM2_U3;DM3_P;DM3_Q;DM3_S;DM3_L1;DM3_L2;DM3_L3;DM3_U1;DM3_U2;DM3_U3;DM12_P;DM12_Q;DM12_S;DM12_L1;DM12_L2;DM12_L3;DM12_U1;DM12_U2;DM12_U3;DM13_P;DM13_Q;DM13_S;DM13_L1;DM13_L2;DM13_L3;DM13_U1;DM13_U2;DM13_U3;DM14_P;DM14_Q;DM14_S;DM14_L1;DM14_L2;DM14_L3;DM14_U1;DM14_U2;DM14_U3;TRA_P;ADM1_H08_P
25.11.2018 01:01;5,92;1,42;6,08;92,73;94,49;91,49;31,52;31,81;31,71;6,16;0,17;6,16;110,74;115,22;111,99;31,57;31,62;31,42;12,9;1,08;12,95;234,06;238,4;233,18;31,56;31,63;31,42;6,98;0,09;6,98;129,21;129,06;129,31;31,52;31,59;31,37;11,85;0,27;11,85;62,38;63,14;63,23;31,48;31,76;31,7;10,18;-0,08;10,18;182,45;187,46;177,98;31,5;31,74;31,63;4,77;-0,12;4,77;78,6;78,6;70,14;31,5;31,78;31,69;58,75;9,03
25.11.2018 02:01;6;2,01;6,33;97,14;98,28;95,37;32;32,26;32,19;6,51;0,31;6,52;114,96;119,22;116,01;32,01;32,07;31,86;12,45;1,19;12,5;225,26;229,28;223;31,98;32,06;31,86;7,2;0,22;7,2;130,38;127,84;128,86;31,99;32,07;31,87;12,41;1,01;12,45;74,89;72,93;76,76;32;32,17;32,17;10,2;0,25;10,2;180,03;186,99;179,67;31,98;32,11;32,18;4,83;0,04;4,83;78,6;78,6;77,4;32,04;32,26;32,2;59,6;8,45
25.11.2018 03:01;5,57;2,11;6,02;99,08;98,72;97,4;31,9;32,13;32,06;5,81;0,22;5,82;102,1;106,39;103,1;31,99;32,02;31,82;12,33;1,17;12,39;224,94;227,69;222,99;31,92;31,98;31,77;7,21;0,26;7,21;131,97;129,97;131,35;31,92;31,96;31,75;13,05;0,62;13,07;75,78;77,6;79,14;31,94;32,11;32,06;10,32;0,21;10,32;183,95;187,54;179,55;31,85;32,11;32,11;4,77;-0,06;4,77;76,2;76,2;76,2;31,94;32,15;32,07;59,13;8,83
25.11.2018 04:01;5,79;1,7;6,03;93,17;97,84;91,76;31,97;32,19;32,06;6,22;0,21;6,23;111,18;115;112,62;32,05;32,08;31,88;12,1;1,16;12,15;221,07;222,56;220,39;31,97;32,04;31,84;7,02;0,36;7,02;128,61;125,85;127,15;31,94;32,01;31,81;12,29;0,72;12,32;67,9;69,11;70,6;31,91;32,17;32,06;10,05;0,33;10,05;179,9;182,9;177,79;31,93;32,15;32,09;4,87;0;4,87;79,61;77,4;68,94;32,02;32,22;32,13;58,33;8,8
25.11.2018 05:01;6;1,38;6,15;96,17;95,64;93,52;31,97;32,22;32,1;6,15;0,07;6,15;111,69;115,41;112,35;32,05;32,09;31,89;12,22;1,14;12,27;219,08;221,73;218,08;31,98;32,05;31,84;6,9;0,23;6,9;126,45;125,81;125,63;31,98;32,03;31,84;12,33;0,39;12,34;60,35;58,56;63,49;31,93;32,18;32,13;9,97;0,29;9,97;176,4;183,37;173,03;31,93;32,15;32,15;4,69;-0,04;4,69;76,2;76,2;66,54;32,02;32,24;32,18;58,26;7,93
25.11.2018 06:01;5,49;1,79;5,77;93,17;93,52;90,53;31,94;32,19;32,1;5,82;0,28;5,83;99,18;101,94;99,08;32,05;32,09;31,88;11,95;1,09;12;218,38;221,27;215,92;31,95;32;31,8;6,39;0,17;6,39;117,14;114,94;114,77;31,96;32;31,78;12,43;0,41;12,44;73,13;74,16;74,82;31,89;32,17;32,11;10,34;0,41;10,34;179,79;185,38;178,3;31,91;32,15;32,07;4,38;-0,02;4,38;65,08;62,88;65,08;32;32,22;32,15;56,8;8,56
25.11.2018 07:01;5,98;0,85;6,04;90,97;91,32;84,97;32,03;32,26;32,13;5,31;0,22;5,32;91,36;94,52;91,33;32,13;32,14;31,96;10,06;0,62;10,08;186,79;189,47;183,87;32,12;32,17;31,97;6,36;0,19;6,36;117,97;115,41;117,27;32,11;32,14;31,93;11,62;0,14;11,62;59,64;60,41;60,89;32,02;32,24;32,18;9,25;0,35;9,26;167,1;170,98;165,25;32;32,24;32,2;2,13;-0,12;2,14;30,44;30,44;30,44;32,09;32,31;32,2;50,71;7,51
25.11.2018 08:01;4,79;0,93;4,88;83,74;84,97;82,86;32,1;32,35;32,26;4,89;0,18;4,9;84,8;87,65;86,32;32,26;32,29;32,09;10,17;0,78;10,2;187,48;190,49;187,27;32,23;32,29;32,09;3,89;-0,07;3,89;72,01;71,36;70,47;32,25;32,29;32,09;10,06;0,66;10,09;29,63;29,65;33,07;32,07;32,37;32,26;8,94;0,25;8,94;156,93;160,23;158,52;32,07;32,37;32,26;1,03;-0,12;1,03;10,79;9,59;10,79;32,2;32,35;32,28;43,77;7,47
25.11.2018 09:01;4,36;0,66;4,41;84,97;84,97;83,21;31,55;31,74;31,68;4,87;0,05;4,87;87,34;90,43;88,64;31,65;31,65;31,49;9,99;0,68;10,01;184,84;187,59;185,11;31,67;31,7;31,53;3,99;-0,09;3,99;75,7;73,19;72,58;31,66;31,68;31,52;9,87;0,27;9,87;24,92;25,89;25,56;31,56;31,76;31,72;8,8;0;8,8;151,82;158,5;153,88;31,54;31,74;31,74;1,05;-0,33;1,1;10,79;9,59;9,59;31,61;31,85;31,74;42,93;6,65
25.11.2018 10:01;4,23;0,83;4,31;82,33;83,21;80,56;31,55;31,74;31,68;5,51;0,21;5,51;97,39;101,63;99,5;31,63;31,67;31,49;10,04;0,65;10,06;187,13;191,92;189,53;31,61;31,68;31,51;4,04;-0,04;4,04;78,25;76,46;78,65;31,57;31,65;31,47;10,2;0,52;10,21;30,42;33,17;35,07;31,52;31,74;31,69;8,59;0,12;8,59;151,42;156,72;154,06;31,5;31,72;31,7;0,95;-0,43;1,04;9,59;8,39;9,59;31,59;31,76;31,74;43,56;7,92
